StrID,msID,mu.se_A,mu.se_B,mu.se_C,mu_A,mu_B,mu_C,pi.se_A,pi.se_B,pi.se_C,pi_A,pi_B,pi_C,sigma.se_A,sigma.se_B,sigma.se_C,sigma_A,sigma_B,sigma_C,MS.Day,UNIT,ENTRY,MS.Ord,MS.tecRep
Str163,636,0.08622252992802078,0.4222325722000615,0.3893249082590756,3.074517790044555,1.5226785024316019,-0.2907497325730387,0.12599762044512033,0.1441147375674823,0.034183249470738274,0.6942494465431677,0.2809901521143902,0.02476040134244208,0.058552391916036575,0.4157259779025389,0.2820460190759377,0.4070820878502162,0.7415098506209674,0.28897608566433725,12,300,21,25,1
Str163,637,0.07234750200837878,0.42760098085869264,0.4501441981393566,3.056038598008781,1.3785901203844142,-0.3018966511020013,0.09566351653687691,0.1154687836247432,0.03425008650728405,0.7787853363886773,0.2028221044455512,0.018392559165771472,0.05070617887092958,0.49362275349024715,0.33662474254422836,0.40668401050906244,0.7274377719274281,0.2725080036665705,4,304,21,26,1
Str163,638,0.07222902212569893,0.428830942843258,0.4491177970915271,3.055488205950551,1.3815979513058594,-0.30207897394155864,0.09596636148928148,0.115509860388989,0.03403323195687065,0.7779616589086622,0.20374339435469158,0.01829494673664616,0.050634977281648313,0.4906023948714683,0.33640157394309966,0.4060829412087635,0.7290038033645994,0.2719563813099087,4,304,21,26,2
Str164,639,0.11049833397732121,0.36078233564892404,0.29451872889227954,3.1170558311561747,1.8475666591287878,-0.17105072412904337,0.16509926424703605,0.17456780521604764,0.03415480377596715,0.530147347147704,0.4207422288856046,0.049110423966691484,0.07266728717754557,0.2544367682822254,0.20644412115920296,0.3973508437651438,0.7225592355425247,0.3503948108773165,1,397,103,34,1
Str164,640,0.10985246151738917,0.3576425576463756,0.2940451515887228,3.1165833708572905,1.8480159169853456,-0.17060489344215646,0.16393387726029238,0.17329126649007875,0.034078629926815214,0.5292780721588111,0.4215995663582536,0.04912236148293531,0.0723650409921018,0.2520790116800878,0.20617995623712004,0.3959108652948922,0.7219226302343675,0.35036778127914425,1,397,103,34,2
Str164,641,0.09619642237634693,0.39745308491095493,0.31908432990684893,3.1063196869623932,1.8586788923478543,-0.1655590309140958,0.15411470075047032,0.16070932084907505,0.03267370226680091,0.6003411294788665,0.35563505728478656,0.044023813236346965,0.0652801058194351,0.26365118184605846,0.224612835470309,0.3998496432102647,0.7324229962440433,0.35470291763855794,4,28,103,3,1
Str164,642,0.09593699047856673,0.3936075036859224,0.3172605222721947,3.1081933780008595,1.8607149590763987,-0.1641992497897111,0.15341235145642013,0.15999111450478723,0.03256697128493758,0.598486190324001,0.3573357596038784,0.04417805007212063,0.06511630001199901,0.26136554189067457,0.22337922785101197,0.3983869101889377,0.7311490415291101,0.3547121768227432,4,28,103,3,2
Str165,643,0.11141910094049524,0.318862559360971,0.31870267241341504,3.0254094977592807,1.6732351522136435,-0.2608212844280088,0.15337234958025775,0.16617201208271454,0.034938286018921044,0.5004205205310353,0.4603979255210316,0.03918155394793322,0.07320648807041827,0.25148330419875886,0.22510453344367076,0.3909045753048193,0.7300809077679014,0.3144222069829589,4,124,91,11,2
Str165,644,0.11108965979269458,0.3186702352642506,0.3189676584268259,3.024640996505357,1.6732600447477002,-0.26011816435714746,0.15310062952198236,0.16589526842614644,0.03504616799089467,0.5006813366511885,0.45999928035176996,0.0393193829970415,0.07307877489904048,0.25125949726132496,0.22522682233789384,0.39064882546894586,0.7303564072444206,0.31480328888117776,4,124,91,11,1
Str165,645,0.09208412408751211,0.3550229085838456,0.3438639979487663,3.0163745699147153,1.6113237701442649,-0.28105980343087267,0.1368868611939105,0.14953299806848733,0.03407208619751778,0.5927530947259383,0.37482588711856496,0.03242101815549671,0.0626758971108834,0.2887006250849162,0.24662469924194894,0.39370474594109084,0.7469636859668282,0.3029352883028476,5,161,91,14,1
Str165,646,0.09220808019226608,0.3544906553072889,0.3437353351241721,3.016633532385736,1.6118021230494357,-0.28129397886073837,0.13696922268948367,0.14958095083681883,0.034013156198873885,0.5919507528690736,0.37568375781459346,0.03236548931633292,0.06274917941663256,0.2880336410459758,0.24655925883585866,0.39364467130130604,0.7469244281036618,0.30272415424953786,5,161,91,14,2
Str166,647,0.09039519942706593,0.41129705141497996,0.3587318746086161,3.0003243673865745,1.7609039661749175,-0.22065236700702373,0.14583537413388226,0.1504786040411367,0.03223022786339299,0.6342277600835626,0.32963706706557705,0.036135172850860264,0.06237911524751522,0.26159727640136055,0.25492064144499915,0.4011818464309756,0.7436098182026915,0.3375913348760774,2,422,20,36,1
Str166,648,0.09030381623912181,0.4109002504422809,0.35892875390276435,3.0004453267343245,1.7607994575119283,-0.22081947917600386,0.14568400646391724,0.15032580338246843,0.032187958919214575,0.634295032619739,0.3296580463241174,0.03604692105614371,0.06232990878777698,0.26138593076093886,0.2550672315484666,0.40100964385111815,0.7435964277308966,0.33740809286622775,2,422,20,36,2
Str166,649,0.11685278613016976,0.2976477073451099,0.29912794776298174,3.005185456100069,1.6191795159413322,-0.27216088050151366,0.15003962480711303,0.1640671898011927,0.030983937264386436,0.5102106334891688,0.4527759300059828,0.03701343650484835,0.0726607117462754,0.2600874116188019,0.20982121177292712,0.3809551509632727,0.6662414784111467,0.3043790341295039,9,369,20,31,1
Str166,650,0.11669412318355171,0.2975914321627768,0.2990989239228036,3.005514698800688,1.620624319977865,-0.27219831880572937,0.15006701090408137,0.16401110503747107,0.030909550226694237,0.5097222128383476,0.4533627620344807,0.03691502512717165,0.0726237161990654,0.2594289257958195,0.20986942184606344,0.3806202414124521,0.6667100084206757,0.3042680786796221,9,369,20,31,2
Str167,651,0.1501910059750254,0.30959716016976213,0.25640268373684716,3.0975395256521185,1.897223648559809,-0.14249201207603923,0.19449857900353876,0.20508820763091606,0.03126901040069353,0.4058745158255309,0.5402270451165347,0.05389843905793431,0.09029135544498819,0.22040748708473565,0.18284675460974534,0.3742440469469987,0.6531037388673766,0.3509221336323495,6,378,32,32,1
Str167,652,0.14939179338575168,0.30838842277492823,0.2562193261475587,3.095702032071096,1.896365737188451,-0.1427242439701002,0.19367529818920556,0.20417497904010884,0.03123769068485376,0.4059871987503153,0.5401760065601795,0.05383679468950519,0.0899716974641199,0.21923867836333125,0.18275042162041846,0.37369830438253643,0.6532277818429838,0.3506760315228214,6,378,32,32,2
